parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,max_fitness_mean,max_fitness_median,max_fitness_stddev,max_fitness_min,max_fitness_max,max_fitness_p10,max_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90
30,0,500,29.5,29.5,0.6882472016116853,28,31,29,30,0,0,0,0,0,0,0,500,500,0,500,500,500,500,29.930799999999998,29.9,0.20072542125212273,29.61,30.418,29.730800000000002,30.153799999999997,2.00670821299661,1.9863287537550538,0.1018634167683826,1.8325675976618219,2.1649378743973147,1.8674086686695,2.1397094443571127,0.5833780777002799,0.5772663438018653,0.02388475519945747,0.5286757000948434,0.6244603349937069,0.563670672890984,0.6180220287885794,0.841032944277704,0.843850533505672,0.04282432417529259,0.7506058798870885,0.914644339185791,0.7898249942896302,0.887691916746115,0.6489321357576185,0.6472586351853689,0.025945430631914197,0.6034419336331733,0.6988130635008667,0.6205011658278877,0.6771992920320933,36.3,36.5,4.193980649002869,30,44,30.900000000000002,41.1,26.8,27,4.274773001052374,20,35,20.9,32.1,0.8004545454545452,0.8,0.14222076905338113,0.5714285714285714,1.125,0.6571428571428571,1,10,10,0,10,10,10,10,706.4975885363858,709.7811749202242,29.03440501590953,632.7816959287483,763.7956518502555,669.8975623167117,731.3173099514272,0.0008259976787849871,0.0008118366051742365,0.00006061413767674828,0.0007476367894872071,0.0009898005005811543,0.0007799304057703758,0.0008645069453247626,2.2751158604342225,2.284640699428294,0.039278562602687424,2.192159449067716,2.3183692540329317,2.2027438621961655,2.3100390843713403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,500,43.2,43,1.5761378513048248,41,46,41.9,45.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,41.81450000000001,41.766000000000005,0.5829687632689842,40.402,43.018,41.13419999999999,42.5696,4.48674356085799,4.481907793649556,0.21899776278452657,4.162059105779256,4.85225679452358,4.228062160887117,4.777078040707699,0.5737036253778076,0.568044277848603,0.02080568245135071,0.5288406153956151,0.6032126729402578,0.5514081178734151,0.6004266089953136,0.8159331463400663,0.8121654089525234,0.049542990323857186,0.7002619912470615,0.905526718800205,0.771222875228086,0.8805537969033694,0.7084235794907634,0.7055498279130045,0.02445848110826422,0.6551538611873852,0.7501921135161673,0.6820819363556769,0.7366892194403365,77.75,77,5.865824301565987,68,91,70.9,85,54.55,54,6.723681635595345,42,69,45.9,62.1,0.9010859769315653,0.9188311688311688,0.1303978232994366,0.6363636363636364,1.1111111111111112,0.7623076923076924,1.0111111111111113,10.85,11,0.8127277008872491,10,12,10,12,831.9393458103747,823.7720274194451,31.74732255688808,773.1705151906381,898.7533501398708,801.0898061453431,874.6256079420097,0.0009308864469342216,0.0009244804916478755,0.00004197674242076427,0.0008753663202604385,0.0010846320826391127,0.0008972503125800141,0.0009513382634701766,2.302401384651234,2.3080246310392654,0.0145345789972983,2.2690351635670916,2.317100827280733,2.2866854366754663,2.31592398904423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,500,47.9,48.5,2.2454632624823536,44,52,45,50.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.0835,45.712,1.5978867458714272,41.394,47.69,43.034000000000006,46.4774,6.444231096660656,6.459182017458723,0.2836479894662827,6.0212540222116555,6.89439743559943,6.079684448728901,6.832831175871341,0.5653639229416203,0.5651105529387896,0.016018418808433344,0.5283499314306618,0.602645470491657,0.5495019123705966,0.5817987102840194,0.8408698838961779,0.8374325073783558,0.04926387139746031,0.7817584485815082,0.9287308817767165,0.782368925766785,0.9097400039058944,0.7523568001396217,0.754425892637651,0.028779925608121416,0.6934093436596379,0.7954069264238243,0.7177778286331284,0.7911763368805307,96.75,96.5,6.077352262812794,85,106,90.6,104.1,68.85,68.5,6.393047210179113,58,77,61.7,77,0.9875178826591364,0.9761904761904762,0.11363003583058108,0.8095238095238095,1.1875,0.8556390977443609,1.1439560439560439,11.3,11,0.8645047258706174,10,13,10,12,800.0197631822205,814.2749095237432,47.833437961021495,689.82754131121,862.1675695091342,745.5331236125157,848.2168812785557,0.0010706036430801573,0.0010559851563479413,0.00007545833947083333,0.0009783120460668637,0.0013368343999480283,0.0009957743995145127,0.0011211888341039812,2.3100345690122555,2.3135051271488782,0.011849995928637282,2.272677856772908,2.320700684758569,2.299633429314599,2.319132257115427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,500,48.55,48.5,2.3277502126799554,45,55,45.9,50.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.839000000000006,45.613,1.7516671757890663,42.396,48.69,43.9448,47.906400000000005,6.733270024828762,6.771178913793785,0.49143481951759266,5.9427724169785,7.790850787943505,6.181370860992283,7.2942631198642705,0.5658684964786251,0.5642285889415142,0.021809574319284788,0.5272904099758389,0.6044517326466993,0.5368211582089644,0.590710937144791,0.8161000511858632,0.8124895849985063,0.04058457547056973,0.7453909740790987,0.8946291454599568,0.7649609677696597,0.8697363134334319,0.7545204128898904,0.7594934770763715,0.024557356369654997,0.7010878369451374,0.7940348634113624,0.7268091787155837,0.7816526693456209,97,97.5,5.785644666804756,85,104,89.9,103.1,68.45,68.5,6.065215750924542,58,77,60.9,76,0.9778798058124851,0.9472222222222222,0.15507571231628037,0.7727272727272727,1.3,0.7897727272727272,1.1687500000000002,11.65,12,1.0399898784932577,10,13,10,13,814.2300530835768,804.1695796585637,40.1456852333469,735.6936310264657,892.8234620362808,772.6246512436021,867.8012492332593,0.0010611503875432985,0.00106390255933123,0.000026569147979886743,0.0010034948163432152,0.001119766258077196,0.0010326494589615683,0.0010882055869489943,2.312776123324036,2.315589988836349,0.008244404121956882,2.287126683489476,2.320700684758569,2.303778583601894,2.3200355658756875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,500,48.85,48.5,1.8715318802914815,46,52,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.6583,45.833,1.831559505190217,42.148,48.398,43.3682,47.7838,6.793952263063515,6.808460724806383,0.5575076560381894,5.601935022829192,7.974664632446937,6.279077765873528,7.634135443180101,0.5673242607434342,0.5690089694916659,0.018223277713570973,0.5308486447861069,0.6034524385580787,0.5488430221580759,0.5921522604142968,0.8465442269185504,0.846286158447983,0.056818721322508585,0.7498783932530189,0.9450405592319596,0.7607045061005046,0.9130070613081115,0.7523168135588327,0.7540283250164095,0.026861829183994657,0.7034728486382776,0.7850377961579419,0.7137691483419744,0.781730224539229,97.4,97.5,7.192100930150638,84,114,87.9,105.20000000000002,68.55,68.5,7.2436905394680515,56,87,60,77.10000000000001,0.9743123933020958,1,0.1399223385941656,0.75,1.375,0.8260869565217391,1.0733333333333335,11.9,12,0.7880689256524123,10,13,11,13,798.7344471898251,795.7689613352393,43.72577418896039,713.9460234742871,886.8747869523442,758.7239732031844,852.5005972109246,0.001098913481676117,0.0010675308370106033,0.00008898340169757311,0.0010274301448105216,0.0013401292487084937,0.0010357188995395801,0.0012380591675373795,2.3132495887909643,2.3135051271488782,0.0057337883508737555,2.3015447766250237,2.3207006847585694,2.3062130615879872,2.3200657148394557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,500,48.75,48.5,1.6181535936466533,47,51,47,51,0,0,0,0,0,0,0,500,500,0,500,500,500,500,46.257099999999994,46.647000000000006,1.9431969832699598,42.862,50.098,43.736,48.217,6.648826523178907,6.795475763806612,0.7972925664381804,4.856087313877288,7.9069273425269175,5.700771414953498,7.625159823993362,0.569119904246782,0.574537319566923,0.022237880199945603,0.5060766154088214,0.59362502088382,0.5518524121665698,0.5899084065445321,0.8332436589012435,0.8266485092681574,0.03412089207321588,0.7872808455150339,0.8943891776560281,0.793644932811981,0.8798402036038457,0.7444437421469008,0.7491809470112454,0.030719279874923355,0.6610944212160843,0.7924875018346487,0.7101888570953634,0.7713033319334222,98.15,98,7.909188527143272,83,115,89.4,107,69.4,68.5,7.802833493437866,56,88,61.5,78.2,0.9384216396442134,0.9251336898395721,0.15168093344047048,0.6538461538461539,1.25,0.7749999999999999,1.1294117647058826,11.95,12,0.6048053188292994,11,13,11,13,807.7010407131226,798.1620220945492,30.24688868997751,764.7823287534857,864.9256156942797,771.898911708155,851.0679127620801,0.001081613464792347,0.0010802160223901316,0.00002703063037385262,0.0010348634265515116,0.0011476770651413972,0.0010506005910426038,0.001110481202231982,2.312663309856131,2.3145546590548793,0.008054764492778407,2.28659847569159,2.3199816828118998,2.3038178534383458,2.319132257115427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,500,48.4,47.5,1.9303667499917427,46,53,47,50.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.8489,46.39,1.8464859912248117,39.434,47.936,44.589,47.3988,6.699248655726938,6.737415119439164,0.40510070059426584,5.763127970121774,7.246261380877744,6.16329347556833,7.185825783450776,0.5670721783827483,0.5729826679662445,0.025624279494302064,0.5085967787192665,0.6017676392354483,0.5287366432788153,0.5937902258679824,0.8392419798248241,0.8331034708617822,0.04914728636346135,0.7767029137883588,0.9502366195137142,0.7857457369538308,0.9056257942795995,0.7453748974747659,0.7508454904806381,0.044311514876599914,0.5863582510449551,0.7871726344908089,0.7187360353310293,0.7835756861912826,100.45,99.5,7.163320312169269,91,119,91,109,72.05,70,7.4302015273370685,62,92,63.9,80.2,0.9167126069646093,0.8947368421052632,0.1321893641787694,0.7083333333333334,1.3076923076923077,0.7966666666666667,1.0662500000000001,11.95,12,0.7591546545162482,10,13,11,13,796.0229697762527,790.4028441688041,34.881823674119566,719.1402190399328,845.4310129088589,764.1978730658619,841.0732674182779,0.001203742228743139,0.0010817645122252239,0.0003939189921155187,0.0010329138216459506,0.002829568881928644,0.0010481509179155204,0.0013344327078117259,2.308708908864564,2.313489303170286,0.011178474053944305,2.2886907256412785,2.321928094887362,2.2912762356280663,2.3172945322009086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,500,49.05,49,2.0641042405337653,46,52,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,46.5424,46.626999999999995,1.3593167943376634,43.456,49.148,44.8682,47.96900000000001,6.779282352730559,6.6611015304790495,0.53741876444244,6.032798355655523,7.706798038095979,6.211154036016804,7.517213533717733,0.5617645804622916,0.5607397211052514,0.018834449854623656,0.518428254064063,0.6067394285528142,0.5437042578019254,0.5788761788341805,0.8336436354390682,0.8216898079743966,0.0596707643191922,0.7172211112295075,0.9360874992382171,0.757106942669381,0.9032484746388034,0.7571338660406709,0.7521260744561773,0.03177687364300548,0.6913174617077937,0.8196709670119023,0.7174130545428319,0.7982426596175477,102.9,101,7.0105184131455385,88,119,97.9,111.5,73.85,72,7.8087333024936685,62,92,66.9,83.6,0.9393102746048465,0.916083916083916,0.1097501080224915,0.8095238095238095,1.2857142857142858,0.8386086956521739,1.0591911764705881,11.65,12,0.9333020044867297,10,13,10,13,797.591986291992,794.6470919417562,38.48820756207761,741.6054420218418,858.4650063720802,749.7456613552969,850.1969349088397,0.0010819282931119304,0.001081984681809358,0.00003954174132202878,0.0010287086799971494,0.0012240986194922523,0.0010536618033041296,0.0011001539516423686,2.313370371580481,2.3136436474194815,0.005672131955172869,2.296330786185976,2.3208396243145395,2.3073712924469323,2.319132257115427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,500,49.2,49,2.60768096208106,46,55,46,51.400000000000006,0,0,0,0,0,0,0,500,500,0,500,500,500,500,46.411199999999994,46.717,1.5287871215960371,42.178,49.014,44.6306,47.9672,6.798134483447089,6.749226421112125,0.5281063937538927,5.873186188092439,7.72977075986086,6.157300905293164,7.367643459419802,0.5692645629129183,0.5705059915541328,0.019866711711170354,0.5263393892774769,0.6057323563841875,0.5492848688657681,0.6007484925127906,0.8487288417346246,0.8407925708808974,0.04710132786384904,0.7703020196654602,0.9314805609455439,0.7974696840656122,0.919498916209581,0.7593562908746091,0.7603077045940181,0.018519793239996325,0.7134212059324121,0.7909519807836589,0.7364125578767473,0.7802019198763235,100.85,99,6.547598997463035,87,112,95.8,109.20000000000002,71.65,70.5,7.652141083245574,59,85,61.900000000000006,81,0.9499020019746578,0.9180602006688963,0.1373694103910149,0.7586206896551724,1.3,0.8393762183235867,1.078571428571429,11.8,12,0.7677718959499144,10,13,11,13,801.1008634050623,802.9310724096837,31.285257043311056,744.0958360397987,850.1637679522854,766.771973549545,843.2301265342736,0.0010898207445416556,0.0010785518447691649,0.000040735557398232316,0.0010523257976784973,0.0012243996589818677,0.001055958306050379,0.0011233437700494313,2.3091054073334156,2.31358387365678,0.013381125570212659,2.265931387919226,2.3205928038657766,2.2922607496189933,2.31958432981152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,500,48.65,47.5,2.277463963548745,46,54,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,44.615300000000005,45.277,2.4137445271000124,39.686,47.248,40.1614,46.992599999999996,6.8532136727615125,6.9207147057841265,0.578304013541861,5.532207877511476,7.61339451230528,6.115246853920626,7.544540039711478,0.571032407693713,0.5708919869040909,0.023003956161962685,0.540117501043218,0.6098622376825291,0.5436455805723569,0.601772816896138,0.8358734234829817,0.8393191829142426,0.04874190591172369,0.7356662323873294,0.9193776754533227,0.7691418641186785,0.8944803434422732,0.7473960084997358,0.753511704098558,0.03216172581219275,0.682804048210285,0.8215954394413618,0.7048002477238686,0.7728634526679331,94.55,96.5,8.792790108647928,76,110,80.8,104,65.9,65.5,8.896480676146757,49,81,50.9,75.19999999999999,0.9723879229614356,1,0.10262911481340811,0.7692307692307693,1.2105263157894737,0.8483333333333334,1.06,11.4,11,1.0954451150103321,10,13,10,13,781.2691344364664,783.875079016715,33.33574032627105,687.4682379629551,834.2311550777025,748.5522222951049,818.7456556469359,0.0011050084661124138,0.0010881685700379756,0.000056467714183901844,0.0010464090092593362,0.0012733813368613625,0.0010533886808009485,0.0011630906488818195,2.310506659147811,2.31466609297264,0.009059441081620429,2.291485094737171,2.3200355658756875,2.2945681282243395,2.3180284064594514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,500,49.05,48,2.3050288273114594,46,55,47,52.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,46.1597,46.257,1.640134304513538,41.12,48.304,44.572599999999994,48.1314,6.89286166089218,7.058897418324836,0.47828148924063546,5.818788877421144,7.4558433459937925,6.1398104252981724,7.389943901246295,0.5684927424081151,0.5717870732948891,0.01830940798488695,0.5359893834603717,0.6013461183681923,0.5405772894332157,0.5898140882616213,0.8229011036583092,0.821451031174466,0.056776545253406786,0.7178425437799411,0.9303443167423331,0.7644193360439323,0.9032197096863603,0.7506461359102323,0.7513207043389949,0.027604978563908804,0.7021484297536612,0.8144935851135747,0.7108678052492636,0.7811360742076778,99.9,103,7.319045091583436,82,109,91.5,106.1,70.85,72.5,7.492276725156099,54,80,62.7,79.1,0.9531654108630484,0.8918128654970761,0.14649236450361905,0.782608695652174,1.3333333333333333,0.8260869565217391,1.1764705882352942,11.55,12,0.7591546545162482,10,13,10.9,12,807.9291267578709,792.4072882973462,34.064252300112415,763.0631111734684,867.4562267402713,776.4172537676365,857.0158654778785,0.0010814835843544464,0.0010748646483731208,0.0000434342560590751,0.0010188663586692011,0.0012108087365247002,0.0010432839528042295,0.0011176010455753007,2.3153047249116665,2.316484951158974,0.005955715539951328,2.301574525166053,2.3208396243145395,2.3054230161023894,2.3204093307619766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
